,RunId,iteration,Step,schedule_type,cooperadores_iniciais,Cooperating_Agents,Maior_Score_Agentes,Menor_Score_Agentes,Diferenca_Score_Agentes
340,340,15,100,Random,2500,2500,800.0,800.0,0.0
341,341,15,100,Simultaneous,0,0,0.0,0.0,0.0
342,342,15,100,Simultaneous,250,0,9.25,0.0,9.25
343,343,15,100,Simultaneous,500,0,12.250656660412758,0.0,12.250656660412758
344,344,15,100,Simultaneous,750,6,601.2422578252114,0.0,601.2422578252114
345,345,15,100,Simultaneous,1000,77,797.0,0.0,797.0
346,346,15,100,Simultaneous,1250,2057,797.0,23.18435223991709,773.8156477600829
347,347,15,100,Simultaneous,1500,2088,798.0,77.62671500321697,720.373284996783
348,348,15,100,Simultaneous,1750,2091,798.0,62.34726487277464,735.6527351272254
349,349,15,100,Simultaneous,2000,2062,800.0,16.370452842351824,783.6295471576482
350,350,15,100,Simultaneous,2250,1971,800.0,46.93072115421059,753.0692788457894
351,351,15,100,Simultaneous,2500,2500,800.0,800.0,0.0
352,352,16,100,Random,0,0,0.0,0.0,0.0
353,353,16,100,Random,250,2327,798.0,187.75487309809608,610.2451269019039
354,354,16,100,Random,500,2444,800.0,382.71382757970196,417.28617242029804
355,355,16,100,Random,750,2448,799.0,311.28539647949844,487.71460352050156
356,356,16,100,Random,1000,2417,799.0,224.8163070583643,574.1836929416357
357,357,16,100,Random,1250,2474,801.9700848111025,326.01434084432634,475.9557439667762
358,358,16,100,Random,1500,0,74.1997734300848,0.0,74.1997734300848
359,359,16,100,Random,1750,2476,793.5780745687257,340.9782410870964,452.5998334816293
360,360,16,100,Random,2000,0,40.646889874044106,0.0,40.646889874044106
361,361,16,100,Random,2250,0,71.9043534216959,0.0,71.9043534216959
362,362,16,100,Random,2500,2500,800.0,800.0,0.0
363,363,16,100,Simultaneous,0,0,0.0,0.0,0.0
364,364,16,100,Simultaneous,250,0,65.13632436025259,0.0,65.13632436025259
365,365,16,100,Simultaneous,500,0,12.244776119402987,0.0,12.244776119402987
366,366,16,100,Simultaneous,750,21,760.7152562936003,0.0,760.7152562936003
367,367,16,100,Simultaneous,1000,2107,798.0,47.147051705007115,750.8529482949929
368,368,16,100,Simultaneous,1250,2060,799.0,30.327762953988326,768.6722370460117
369,369,16,100,Simultaneous,1500,1995,798.0,2.0,796.0
370,370,16,100,Simultaneous,1750,2148,800.0,77.86145099218393,722.1385490078161
371,371,16,100,Simultaneous,2000,2199,800.0,195.45687618448827,604.5431238155118
372,372,16,100,Simultaneous,2250,1982,800.0,23.38456551704526,776.6154344829547
